intro,title
"Can behavioral science help end poverty? We think so, and we have a few ideas.",Three Ways Behavioral Science Can Help End Poverty
"It’s taken for granted now that behavioral science is the future. Applied behavioral science has become part of the “innovation agenda,” and, with behavioral units ",Why Behavioral Scientists Need to Think Harder About the Future
"Today more than ever,
we need to understand cultural differences. A lot of times, we think about our
differences in terms of rather superficial characteristics like red versus blue,
East versus West, rich versus poor, religious versus secular. I’m a
cross-cultural psychologist and have been trying to understand the deeper codes
that drive behavior.",Understanding Cultural Differences Around Social Norms
"We are excited to introduce a new feature, the Research Lead. Each month, we will highlight a handful of academic papers that we find interesting and important. Our goal is to provide a portal into original academic research, whatever your level of expertise. We also hope the Research Lead will foster interdisciplinary thinking and collaboration. If you have a suggestion for a future Research Lead, please email us at ","Research Lead: The Illusion That’s Impossible to Shake, a 21st Century Trolley Problem, and More"
"
- Herman Melville, ","A Tale of Two Systems: 19th Century Behavioral Insights From Poe, Austen, and Dickens"
The Psych Report,Can Government Help Citizens Spend “Happy Money”?
The Psych Report,"The Psychology of the Union: The Minimum Wage, Inequality, Retirement, and Healthcare in the State of the Union Address"
The Psych Report,Materially False: A Q&A with Tim Kasser about the Pursuit of the Good Life through Goods
The Psych Report,The Nurture Effect: A Q&A with Anthony Biglan
"Sharp observers of human behavior have long been intrigued by poker, a game that consistently pits human biases against probabilistic thinking, with a little bit of luck sprinkled in. A few years ago, the writer and psychologist Maria Konnikova found herself drawn to the game, curious about what it might teach her about her own decision-making and biases.","What Are the Chances? Maria Konnikova’s Unexpected Poker Journey, and What She Learned"
"The year was 1999. Chicago’s public housing was in distress, with neglect and gang activity hastening the decline of already depressed neighborhoods. In response, the city launched the ",The Benefits of Statistical Noise
"At a speech at the United Nations, writer and activist Steve Silberman noted that “society is on the brink of a major transformation in its understanding of autism and other developmental disabilities.” Silberman is right.",Rethinking Autism: From Social Awkwardness to Social Creativity
"If you feel like there are too many things to do today and not enough time to do them, you are not alone. Most Americans feel pressed for time. In a ","To Promote Happiness, Choose Time Over Money"
One of the most poignant scenes in season two of NBC’s ,The Happiness Boomerang Effect: When Positive Activities Backfire
"“Why are you architects not interested in people?” Ingrid Gehl asked her new husband, Jan. “What do you think about the fact that your architecture professors take their photos at four o’clock in the morning … without the distraction of people in the photos?”",The Little-Known Behavioral Scientist Who Has Transformed Cities All Over the World
"Ancient Man might have liked a smartphone. Before homo became sapien, our cave-dwelling ancestor would have wanted to know whether a storm was coming or if his friends had spotted a herd of predators nearby. But, lacking such a forecasting tool, he honed (over millennia) a particular part of his brain to cope with sudden fear: the amygdala.","With Your Smartphone, Fear is Never Far Away"
"With the 2018 midterm elections looming, the stakes are high in American politics. Republicans aim to maintain control of Congress, and Democrats seek to win key elections to flip both chambers. Several new grassroots campaigns—largely organized by high-school students in response to the Parkland shooting—seek to address gun safety by mobilizing citizens to join large-scale ",How to Increase (and Sustain) Political Engagement
"There’s a homeless lady who lives by the station in my bustling South-East London neighborhood. I wonder what her story is. What brought her here to eke out an existence on this grimy London street? I imagine myself in her shoes and wonder how I’d cope. Most of the time she’s asleep, bundled under a filthy duvet. Occasionally, when she’s awake, I give her ",Help You Help Me
The Psych Report,Q&A: Grit Psychologist Angela Duckworth Wins Genius Grant
"Ten years after the term
was coined, the field of behavioral insights is at a pivotal point. Its first
decade saw the approach attract significant resources, generate attention
globally, and expand rapidly into a dynamic ecosystem. But a clear-eyed look
around shows that governments mainly still rely on economists for their core
policy decisions; every day, people experience services that are far from easy,
attractive, social, or timely; and experimentation often feeds into marginal
decisions only.",The Future of Behavioral Insights Demands Human-Centered Design
"In the winter of 2014, Dolly Chugh joined a hundred other people lying on the floor of a Toys “R” Us in Times Square. It was a “die in,” a protest intended to disrupt daily routines and draw attention to the killing of Tamir Rice by Cleveland police, a killing emblematic of racism in America.",Why Being Good-ish Is Better Than Being Good: A Conversation With Dolly Chugh
"With massive wildfires terrorizing the West Coast and communities along the Gulf and Caribbean bracing for peak hurricane season, Americans once again have natural disasters on their minds. As many families continue to grapple with the historic destruction seen in 2017—during which extreme weather events caused a record ",The Way We Process Risks Can Keep Us in Harm’s Way
"A lot of ink has
been spilled and consultant hours racked up talking about the ins and outs of
hiring heuristics. What deeply nuanced psychological traits should we be
looking for? What tactics can you use to see them? What’s the one surprising
trick that will help you identify the exceptional among the average?",Hiring Isn’t Rocket Science: Why the Most Boring Strategy Is Best
"The research question seemed like a cross between science fiction and a conspiracy theory. I could hardly believe that we were asking it. But the world of our psychological forefathers had changed, and we had to change our thinking to keep up. In 2013, I worked under the supervision of Robert Epstein, B.F. Skinner’s last doctoral student, to begin a series of behavioral experiments to address an unsettling question: Could a search engine be used to sway the minds of voters?",The 21st Century Skinner Box
"For much of her 16 years, Starr has lived a
double life. At school, Starr is what she refers to as “Starr version 2.” As
one of the only black students at Williamson Prep, an elite high school outside
of her predominantly black neighborhood, she “doesn’t give anyone a reason to
call her ghetto.” She’s not proud of it, but it helps her to fit in. On the
weekends everything is different. In Garden Heights, she is able to be herself.",The Bias Inside: A Conversation With Psychologist Jennifer Eberhardt
"Science is set up in a way that
systematically penalizes research on females and female-related health
issues…but not necessarily for the reasons you think. Although there was a time
and place in history when women weren’t believed to be worthy of study, this is
far less true now than it was even 25 years ago. Academics tend to skew more
left than right, and the overwhelming majority of scientists that I have met in
my career—both women and men—are fully supportive of women, women’s rights, and
proponents of women’s inclusion in science. Although others might perceive the
gender equality landscape somewhat differently from the way I do, all else
being equal, I think that most researchers would be just as inclined to study
women and things that are important to women as they are to study things that
are important to men. This is particularly true given the growing number of
women in science.",“Further Exploration Needed in Women”—the Hidden Sexism in Scientific Research
"Nudging has rightfully earned its place in public policy as an effective, efficient, and relatively low-cost lever for addressing knotty challenges grounded in very human “irrational” behavior: Which message encourages citizens to get out the vote or pay their taxes on time? What mix of social norms, commitment devices, and prompts increases medication adherence? These kinds of behavioral interventions are primarily designed to achieve efficiency and cost savings within current processes and structures, through solutions to known, discrete behavioral challenges. Think of it as process improvement, nudge-style.",A New Model for Integrating Behavioral Science and Design
"Since President Donald Trump’s election, countless news stories have touted massive increases in civic engagement. We’ve read that Trump is “",The Myth of Civic Engagement During Trump’s Presidency
The Psych Report,Nudging the UK: A Conversation with David Halpern
The Psych Report,"UK’s Behavioral Insights Team Leaves Government, Launches Joint Venture"
"A recent meeting left us feeling queasy. One of us (Jon) was preparing to partner with a large multinational company on a research study involving the company’s employees. Jon had partnered with the company in the past and was excited by the opportunity to turn their previous collaboration on passion for work into a large-scale intervention. As Jon sat in a planning meeting, the vice president of human resources mentioned that even though the intervention would be evaluated at the group level—meaning an employee’s personal information would only be analyzed as part of an aggregate of all employee data—their sensitive individual-level data, such as the intention to leave and level of burnoutwould be reviewed by each employee’s manager, as well as local human resource teams.",The Behavioral Scientist’s Ethics Checklist
"A few years ago, I had my first conflict with a colleague. It seemed trivial: we were arguing over toys. While it may have seemed like we were acting like the children who play with them, the conversation was much bigger than toys. It was about gender bias and inequality.",What Happens When We Give Everything a Gender
"Working from home is becoming more mainstream, but large employers are starting to wonder whether remote work actually stifles innovation and productivity. Can remote teams achieve the productivity of the office and still allow the convenience of working at home?",“Bursty” Communication Can Help Remote Teams Thrive
"Compared to just a few years ago, the term ",There Is More to Behavioral Economics Than Biases and Fallacies
“I disagree with myself.” This is what a third-grade boy ,The Benefits of Admitting When You Don’t Know
"Susan Thompkins is somebody’s Aunt Susan, and everyone has a version of someone like Aunt Susan. Aunt Susan is a genuinely happy and loving woman, who also buys gifts for her nephews and nieces whenever she shops for herself and her kids. Aunt Susan loves shopping at JCPenney. She’s been shopping there since she was a child, going with her parents and grandparents, helping them spot bargains. There were always so many great deals to be found. It was a fun game, running around, looking for the highest number next to the percent symbol, proud of spotting the secret stash.",We Forget That Everything Is Relative
Most of us are probably aware that the birth control pill can cause women to experience “,Is Sexy in the Eye of the Pill-Taker?
"This week the Cleveland Browns will decide which, if any, of the top quarterback prospects to acquire with the first pick in the NFL draft. There are four leading contenders, and the team has been evaluating them in detail for more than a year. They will pay the young man over $30 million, and his success or failure will drive the team’s fortunes for years. No pressure. Never mind the sobering ",How to Identify Talent: Five Lessons from the NFL Draft
"A recent meeting left us feeling queasy. One of us (Jon) was preparing to partner with a large multinational company on a research study involving the company’s employees. Jon had partnered with the company in the past and was excited by the opportunity to turn their previous collaboration on passion for work into a large-scale intervention. As Jon sat in a planning meeting, the vice president of human resources mentioned that even though the intervention would be evaluated at the group level—meaning an employee’s personal information would only be analyzed as part of an aggregate of all employee data—their sensitive individual-level data, such as the intention to leave and level of burnoutwould be reviewed by each employee’s manager, as well as local human resource teams.",The Behavioral Scientist’s Ethics Checklist
The Psych Report,What’s a Beer Worth? New Research Shows How Scarcity Affects Your Answer
"“Why are you architects not interested in people?” Ingrid Gehl asked her new husband, Jan. “What do you think about the fact that your architecture professors take their photos at four o’clock in the morning … without the distraction of people in the photos?”",The Little-Known Behavioral Scientist Who Has Transformed Cities All Over the World
Burning Man has just finished—which means it’s the time of year when many media outlets pepper their pages with images of dusty campers wandering around ,How to Go to Burning Man Without Going to Burning Man
"I had just
finished giving a speech on building habits when a woman in the audience
exclaimed, “You teach how to create habits, but that’s not my problem. I’m
fat!” The frustration in her voice echoed throughout the room. “My problem is
stopping bad habits. That’s why I’m fat. Where does that leave me?” I deeply
sympathized with the woman. “I was once clinically obese,” I told her. She
stared at my lanky frame and waited for me to explain.","To Change a Habit, Get Extreme. Progressively."
 ,The Emotions That Make Us More Creative
"Taxpayers increasingly scrutinize how public money is spent. Such scrutiny makes sense: taxpayers expect government administrators to ensure their decisions are effective. For policymakers, then, it’s important to collect evidence of “what works” to show that effectiveness, and they’re increasingly turning to experimental trials to evaluate programs. But this fervor for evidence-based policy carries its own risks, because even evidence from past work doesn’t guarantee that everything will work and that governments can achieve all their objectives.","When Expectations Fail, Keep Testing"
Rebel Talent: Why it Pays to Break the Rules at Work and in Life. ,"From Pink Milk to Smart Questions, How to Be a Rebel Leader"
"This summer, the ",The Wisdom of a Universal Basic Income
"In the past hour, you’ve probably had at
least a few spontaneous daydreams that had nothing to do with what you were
doing. Maybe while
drafting an email for work, your mind replayed a conversation you had earlier.
Or during a less-than-riveting Zoom meeting, you might have found yourself lost
in a random melody running through your head, or thinking about a family member
you’ve been putting off calling. Your daydreaming could have taken a
fantastical turn: How would your life be different if you had the ability to
peek a day or two into the future? ",Daydreaming Might Make You More Creative—But It Depends on What You Daydream About
The Psych Report,How Incentives Hinder Innovation
"It’s hard to overstate just how different our society has become since the introduction of the internet. Even charitable giving has been forever altered. It used to be done almost exclusively through cash gifts sent by phone or mail to large, faceless non-profit organizations. While these organizations remain major players, platforms like Kickstarter, Indiegogo, Kiva, JustGive, GiveDirectly, and CrowdRise have provided outlets for donors who wish to choose precisely who they want to give to – be it a beauty salon owner in Nicaragua or a farmer in a mountainous area in Vietnam.",Is Charitable Giving a Beauty Contest?
We love the list below. The 10 most popular articles of 2019 are not only interesting in their own right but together illustrate the range of ways behavioral science influences our personal and professional lives.,Most Read Articles of 2019
To complement ,What to Watch Summer 2019
Parents and policy makers are often inundated with frightening claims about media and technology’s effects on kids.  In 2014 ,A History of Panic Over Entertainment Technology
"The research question seemed like a cross between science fiction and a conspiracy theory. I could hardly believe that we were asking it. But the world of our psychological forefathers had changed, and we had to change our thinking to keep up. In 2013, I worked under the supervision of Robert Epstein, B.F. Skinner’s last doctoral student, to begin a series of behavioral experiments to address an unsettling question: Could a search engine be used to sway the minds of voters?",The 21st Century Skinner Box
"A few days ago, one of my best friends texted me a joke. It was funny, so a few seconds later I replied with the “laughing-while-crying emoji.” A little yellow smiley face with tear drops perched on its eyes captured exactly what I wanted to convey to my friend. No words needed. If this exchange happened ten years ago, we would have emailed each other. Two decades ago, snail mail.",The Potential for Human-Computer Interaction and Behavioral Science
"It was the day before I was supposed to host a book club meeting at my apartment, and I hadn’t read the book. This was partly because of a busy schedule, and partly because the book hadn’t piqued my interest. But since I was responsible for leading the discussion, I felt a strong obligation to read. So I hid my phone and stayed submerged in the novel until I finished reading – for about five hours. I’ve now forgotten the name of the book and much about the plot. The reason why I remember that afternoon was because of how focused and peaceful my brain felt.",My Quest to Get My (Hijacked) Brain Back (Audio Story)
"Two weeks into 2018, many of us are still valiantly striving to keep to our New Year’s resolutions. For some of us this means exercising regularly. For others, it’s saving more for our kids’ college or to buy our first home.",Want to Keep Your New Year’s Tech Resolutions? Embrace Sludge
“I disagree with myself.” This is what a third-grade boy ,The Benefits of Admitting When You Don’t Know
"Throughout history, ",Resistance Is Futile: Embracing the Era of the Augmented Worker
"The history of technological innovation involves many unintended consequences. As the cultural theorist Paul Virilio said, “The invention of the ship was also the invention of the shipwreck.” We’re suffering through many of the unintended consequences of the information revolution. The same features that make a product engaging, entertaining, and user-friendly can also make it a time-wasting distraction for some and a full-blown addiction to others.",Ask a Behavioral Scientist: Nir Eyal on how the “Regret Test” Makes for Good Ethics and Good Business
"If you’re reading this on your computer, you might be listening to music too. Maybe you have the news or a game on the TV in the background, and your phone is by your side as you wait for an important text. Perhaps you just stopped reading for a second to reply to an email and then popped into a new tab to post on social media. Now your Fitbit dinged to remind you to hit your steps for the day.",Productivity in Peril: Higher and Higher Rates of Technology Multitasking
"As sensationalist headlines circulate on the same social networks they condemn as harbingers of a tech apocalypse, Amy Orben has emerged as a clarifying presence. ",The Need for Nuance in the Tech Use Debate: A Conversation with Amy Orben
"Whether working on a critical report at the office or a school assignment due the next day, we are all faced with a constant stream of distractions and interruptions. In the office we often juggle our work assignments between messages from those pink “While You Were Out” slips sitting atop our desk or responding to urgent email requests while trying to craft an important report. We believe that we’ll be able to manage everything at the same time, and maybe even more productively.",Remedies for the Distracted Mind
The Psych Report,If Your Psychotherapist Were A Behavioral Economist
“We just lost our lord.”,How to Save Your Diversity Program From an Untimely Demise
"Emotion has always seemed like one of the true human universals. All humans appear to cry when we are sad and smile when we are happy. We sweat from fear, our hearts beat in anger and swell with love. Hundreds of languages from around the world have words for concepts such as “sadness,” “happiness,” “fear,” “anger,” and “love.” Intuition tells us that these concepts are so common because they refer to basic human experiences that are hardwired into our DNA.",Do Words for Emotions—Like “Happy” or “Fear”—Mean the Same Thing in Every Language?
"Some of the fondest memories I have of summers as a kid are the road trips my family would take to the state parks nearby. As we road tripped around Ohio, Michigan, and Kentucky, one activity in particular became something of a pastime. No matter where we went, we always managed to find a claw machine. Big plexiglass cases of stuffed animals. The ones you see in diner entrances or bowling alleys. For 25 or 50 cents you could try your luck at extracting one of the toys with a metal, joystick-controlled claw. My dad, brother, and I became proficient at picking out the stuffed animals—a skill that eventually peaked on my 21st birthday when I pulled out three stuffed animals in one go. (Recent attempts suggest I am regressing to the mean.) ",Summer Reading Picks for 2019
Americans spend ,You Don’t Know What You’ve Got ‘Til It’s Gone
The Psych Report,Reading Bee-tween the Lines: BeeLine Reader and Spritz Raise Research Questions
The Psych Report,"The Comfort of Conspiracy: Finding Meaning in Free Masons, Shadow Governments, and the Illuminati"
"On Thursday afternoons throughout the fall, Brittany and John meet to check in. Brittany is a senior in high school and John is her counselor from Bottom Line, a college success organization. They talk about which colleges are a great fit for her interests and affordable for her family, work on her applications, and complete financial aid forms so Brittany will receive grant money for college. Numerous times throughout senior year Brittany and hundreds of other students will meet with their Bottom Line counselor one-on-one, and they’ll continue to be supported by Bottom Line coaches throughout college.",Fifty Cents or Five Thousand Dollars?
"The female startup CEO was emailing again. It was the final stage of a potential funding deal with a venture capital firm, and she was negotiating hard to close it. “I saw that as a CEO she was doing her damnedest for her company,” one young female venture capitalist told us during a recent interview. “But the general discussion, even from internal women at our organization, was ‘I don’t want to work with someone like that. She’s too pushy. She’s too aggressive.’ I really don’t think anyone would [have said] that if she was a guy.”",Venture Capitalists Are Using the Wrong Tools to Improve Gender Diversity
"Ros Atkins felt stuck. The career
BBC journalist felt that he and many of his colleagues had “accepted that
representing women equally in our journalism was a desirable goal, but also
accepted that it wasn’t possible,” he said.",What Companies Who Want More Diversity Can Learn From the BBC
The Psych Report,Q&A with Nicholas Epley Part 2: Ourselves & Our Technology
"If you’re reading this on your computer, you might be listening to music too. Maybe you have the news or a game on the TV in the background, and your phone is by your side as you wait for an important text. Perhaps you just stopped reading for a second to reply to an email and then popped into a new tab to post on social media. Now your Fitbit dinged to remind you to hit your steps for the day.",Productivity in Peril: Higher and Higher Rates of Technology Multitasking
The Psych Report,Q&A with Nicholas Epley Part 1: We Need to Talk
The Psych Report,When a Theory is Too Good to Be True: Fallacies in Perception Research
The Psych Report,Could It Be Her Voice? Why Scarlett Johansson’s Voice Makes Samantha Seem Human
The Psych Report,NPR Launches New Show Exploring the ‘Invisibilia’ of Human Behavior
“What does it mean to be popular?” In 2015 ,Status Check: What Does It Mean to Be Popular?
"Picture a driverless car cruising down the street.
Suddenly, three pedestrians run in front of it. The brakes fail and the car is
about to hit and kill all of them. The only way out is if the car crosses to
the other lane and swerves into a barrier. But that would kill the passenger
it’s carrying. What should the self-driving car do?",Your (Future) Car’s Moral Compass
"It happened almost every night around 10 p.m. I’d plan to spend 30 seconds setting my iPhone alarm and then get into bed to read (a paper book). But after I set the alarm, some other part of my consciousness would guide my fingers towards other apps as if I was navigating a Ouija board. I’d check Instagram. And Twitter. One last sweep of my email accounts and any other app that could possibly be checked (is looking at Venmo really necessary?), and then I’d navigate to Facebook and Twitter on my Safari browser (I took the apps off my phone so I’d spend less time on them—#fail). An hour later, I’d emerge from my possessed state a bleary-eyed zombie. ",Investigating the Irresistible: A Conversation with Adam Alter
The U.S. will resettle the lowest number of refugees in fiscal year ,Why Are Americans So Divided on Refugee Policy?
"As you point out, the social proof principle says that we determine how we should behave by watching and learning about the actions of others. So does that mean that highlighting the large number of women who have been sexually harassed—and therefore the many men who have harassed women—will lead men to believe that harassing behavior is widespread and therefore acceptable? Given the short lifespan of the #MeToo movement thus far—it went viral in October 2017—we don’t yet have any research evidence to back up this hypothesis.",Could the #MeToo Movement Inadvertently Lead to More Sexual Harassment?
"Whether working on a critical report at the office or a school assignment due the next day, we are all faced with a constant stream of distractions and interruptions. In the office we often juggle our work assignments between messages from those pink “While You Were Out” slips sitting atop our desk or responding to urgent email requests while trying to craft an important report. We believe that we’ll be able to manage everything at the same time, and maybe even more productively.",Remedies for the Distracted Mind
The Psych Report,How Can Organizations Promote Gender Equality? Iris Bohnet on ‘What Works’
"Just last week, a robot ","Forget the Robot Apocalypse, Focus on Building More Useful AI: A Q&A with Gary Marcus"
"Two weeks into 2018, many of us are still valiantly striving to keep to our New Year’s resolutions. For some of us this means exercising regularly. For others, it’s saving more for our kids’ college or to buy our first home.",Want to Keep Your New Year’s Tech Resolutions? Embrace Sludge
"It was the day before I was supposed to host a book club meeting at my apartment, and I hadn’t read the book. This was partly because of a busy schedule, and partly because the book hadn’t piqued my interest. But since I was responsible for leading the discussion, I felt a strong obligation to read. So I hid my phone and stayed submerged in the novel until I finished reading – for about five hours. I’ve now forgotten the name of the book and much about the plot. The reason why I remember that afternoon was because of how focused and peaceful my brain felt.",My Quest to Get My (Hijacked) Brain Back (Audio Story)
The Psych Report,Be Mindwise: Perspective Taking vs. Perspective Getting
"On Saturday, James Alex Fields Jr. drove his car into a crowd of counter-protesters in Charlottesville, Virginia, injuring 30 people and killing Heather Heyer. Earlier that day, white supremacists nearly beat Dre Harris to death. Throughout the afternoon, violence erupted between white supremacists and counter-protesters.",Our Enemies Are Human. That’s Why We Want To Kill Them
"On Thursday afternoons throughout the fall, Brittany and John meet to check in. Brittany is a senior in high school and John is her counselor from Bottom Line, a college success organization. They talk about which colleges are a great fit for her interests and affordable for her family, work on her applications, and complete financial aid forms so Brittany will receive grant money for college. Numerous times throughout senior year Brittany and hundreds of other students will meet with their Bottom Line counselor one-on-one, and they’ll continue to be supported by Bottom Line coaches throughout college.",Fifty Cents or Five Thousand Dollars?
"“A sick, demented man.” That was Donald Trump’s ",The Myth That Mental Illness Causes Mass Shootings
The Psych Report,Reality TV and Body Image: The Not So Real World
Parents and policy makers are often inundated with frightening claims about media and technology’s effects on kids.  In 2014 ,A History of Panic Over Entertainment Technology
"I live in Charlottesville, Virginia. On Saturday, I woke up to white vans carrying white supremacists through my neighborhood to Emancipation Park. The park, only three blocks away, is where the statue of Confederate general Robert E. Lee stands and where white supremacists chose to rally on August 12th.",Charlottesville’s Battle for Human Nature
"News coverage of former FBI Director James Comey’s testimony before the Senate Intelligence Committee felt a lot like a live choose your own adventure game. You could watch the live feed, read the ","Smartphones Make It Easier to Follow the News, but Harder to Comprehend"
The Psych Report,"More than a Game: What Sports Can Teach Us About Morality, Consciousness, and World Peace"
The Psych Report,Babies and the Science of Morality
The Psych Report,How Psychology Can Help Ferguson Heal
The Psych Report,Does Culture Shape Our Underlying Tendencies Toward Dishonesty?
"On Saturday, James Alex Fields Jr. drove his car into a crowd of counter-protesters in Charlottesville, Virginia, injuring 30 people and killing Heather Heyer. Earlier that day, white supremacists nearly beat Dre Harris to death. Throughout the afternoon, violence erupted between white supremacists and counter-protesters.",Our Enemies Are Human. That’s Why We Want To Kill Them
"Many people experience harassment at work, but studies show that most never report it. The Equal Employment Opportunity Commission ",The System for Reporting Sexual Harassment Is Broken—Here’s How to Fix   It
"If you work in a typical office, there’s an overwhelming chance that your answer to the question, “Who’s Your Real Boss?” is your smartphone. You probably won’t even finish this article without checking your phone at least once.",Who’s Your Real Boss?
A ,“Work-Life Balance” and “Empathizing” Do Not Explain Women’s Career Choices
"Manik,
Tushar, Protoy, and Simanto have all been
waiting about a year for a sponsor. Their pictures sit side by side on the
homepage of Compassion International. For each of these 8- or 9-year-old boys, sponsorship means access to school, medical
care, and better nutrition. Knowing their situations, you wish you could sponsor each of
them, but your resources only go so far. In instances like this, would you
prefer to donate as much as possible to a single child or donate a little to
each of the children, trying to reach all four?",Spreading the Wealth: The Preference to Distribute Donations
"August 30, 1999, could have been a day of celebration. East Timor,
or Timor-Leste, saw nearly 99 percent of its residents participate in a vote
for independence from Indonesia, with over three-fourths marking their ballot
for independence. However, after the vote, the country, which occupies one half
of a small, arrowhead shaped island between Australia and Indonesia, erupted
into violence.",“Teddies for Timor” and the Perils of Good Intentions
"In early 2016, Princeton University professor Johannes Haushofer posted a “",Brag Wisely
"We all know the feeling. You’re driving and have a thought you need to write down. Or you realize you forgot to reply to an email, or a friend texts you. You think to yourself, Should I do it? Should I text, or email, or jot down my notes while driving? I know it’s wrong … but I could make an exception just this once.",The Real Reason You Shouldn’t Text While Driving
"You’re scrolling through your Facebook feed and spot a post from a former high-school classmate, sharing news about her recent service trip overseas. There’s a picture of her smiling ear to ear while posing with children at a local orphanage. “So #blessed to be able to help others less fortunate than me—what an amazing, life-changing trip,” she writes in the caption.",Should You Broadcast Your Charitable Side?
"To an untrained ear, Andy Ozment’s comments probably sounded like standard conference-panel fare. This was late 2014, and Ozment, the assistant secretary for cybersecurity and communications at the Department of Homeland Security, was answering a question posed by an audience member at a New York University cybersecurity conference. The question was, Would the DHS continue to emphasize “elementary” security advice?",The Road to Cybersecurity Is Paved With “Extraordinarily Basic Things”
"Here is a fact about Facebook: Once largely used to share family photos and cat memes, it’s now a platform where people encounter political news with ","What’s True, and Fake, About the Facebook Effect"
Everyone’s worried about smartphones. Headlines like “,Knowing When Tech Does (and Doesn’t) Promote Positive Relationships
"I, Crawford, have a number of prolapsed discs in my back. I could tell
you all the reasons why I must do the ten physio exercises every day and how
they are proven to be good for me. But guess what? That doesn’t mean the physio
gets done.",Saving Lives By Closing the Intention-Action Gap
We pay dearly for our misbeliefs. The recent measles outbreaks around the United States has led to ,Busting Misbeliefs to Improve Women’s Well-being
The Washington Post,Schadenfreude in Gaza
The Psych Report,Clash: 8 Cultural Conflicts That Make Us Who We Are
"I live in Charlottesville, Virginia. On Saturday, I woke up to white vans carrying white supremacists through my neighborhood to Emancipation Park. The park, only three blocks away, is where the statue of Confederate general Robert E. Lee stands and where white supremacists chose to rally on August 12th.",Charlottesville’s Battle for Human Nature
A friend of mine was ,The Risks of Ignoring the Brain
The Psych Report,The High Cost of Not Doing Experiments
The Psych Report,Affirming Their Way to the Top: How A Small Intervention Could Help Close the Social Class Achievement Gap
"A homeless person approaches you during the lunch hour, appealing for a few dollars to buy lunch. You are moved to help, but you have a choice—you could either give the person a portion of your own sandwich to eat, or give them cash. Which would you prefer?",The Paradox of Helping: Endorsing for Others What We Oppose for Ourselves
The Psych Report,Google’s Psychedelic Art: This Is Your Computer Brain on Drugs
"When employees feel that their company is seeking to achieve success and productivity not only in a business sense, but also in a way that contributes–even modestly–to making the world a better place, ",How Contemporary Art Fuels This Company’s Vision
It’s clear that the private sector has significant interest in behavioral science. A ,Finding Opportunities to Apply Behavioral Science for Good in the Private Sector
