author,date,finalSummary,miniSummary,title
Anne Trafton,11-May-21,"In their study, which appears today in , they confirmed several protein-coding genes and found that a few others that had been suggested as genes do not code for any proteins.“We were able to use this powerful comparative genomics approach for evolutionary signatures to discover the true functional protein-coding content of this enormously important genome,” says Manolis Kellis, who is the senior author of the study and a professor of computer science in MIT’s Computer Science and Artificial Intelligence Laboratory (CSAIL) as well as a member of the Broad Institute of MIT and Harvard.The research team also analyzed nearly 2,000 mutations that have arisen in different SARS-CoV-2 isolates since it began infecting humans, allowing them to rate how important those mutations may be in changing the virus’ ability to evade the immune system or become more infectious.The SARS-CoV-2 genome consists of nearly 30,000 RNA bases.A few other regions were suspected to encode proteins, but they had not been definitively classified as protein-coding genes.To nail down which parts of the SARS-CoV-2 genome actually contain genes, the researchers performed a type of study known as comparative genomics, in which they compare the genomes of similar viruses.",MIT researchers have determined the virus’ protein-coding gene set and analyzed new mutations’ likelihood of helping the virus adapt.,A comprehensive map of the SARS-CoV-2 genome
PKG Center,25-May-21,"“We are extremely grateful for IDEAS for believing in our project and helping us throughout the entire IDEAS program as we were refining everything.” IDEAS has been influencing the social innovation ecosystem at MIT for two decades and, like many of the teams that engage in the year-long program, has evolved significantly during that period.The most notable shift, led by Rebecca Obounou, PKG Center’s assistant dean for social innovation, has been transitioning the tone of IDEAS from a “competition” to a more collaborative “challenge.”“The challenges that society faces today require collaborative frameworks over competitive ones,” Obounou says.",Six new IDEAS teams receive grants to continue developing their work with communities.,MIT IDEAS celebrates 20 years of social innovation at MIT
"David L. Chandler, MIT News Office",28-Jan-14,"Later, she asked Cooper why he had come to help her and others like her.After a discussion with Kickbusch, it became clear that 18 people on the superintendent’s own staff wanted to complete college; some already had three years of college credit.",MIT Diversity Summit celebrates inclusion and meritocracy.,"‘Good ideas come from anyone, anywhere’"
Jennifer Chu,17-Jun-20,"A team of astronomers, including researchers at MIT, has picked up on a curious, repeating rhythm of fast radio bursts emanating from an unknown source outside our galaxy, 500 million light years away.Fast radio bursts, or FRBs, are short, intense flashes of radio waves that are thought to be the product of small, distant, extremely dense objects, though exactly what those objects might be is a longstanding mystery in astrophysics.The source is the most active FRB source that CHIME has yet detected, and until recently it was the closest FRB source to Earth.As the researchers plotted each of the 38 bursts over time, a pattern began to emerge: One or two bursts would occur over four days, followed by a 12-day period without any bursts, after which the pattern would repeat.",Signal from 500 million light years away is the first periodic pattern of radio bursts detected.,"Astronomers detect regular rhythm of radio waves, with origins unknown "
MIT News Office,9-Mar-21,"MIT’s  filled with projects aimed at helping the people most affected by Covid-19, and by June, MIT faculty, students, staff, and alumni were working  their operations to produce much-needed equipment.The Institute was also adapting to meet the needs of its own community, now dispersed around the world.Students mobilized to , and multiple MIT scholars were sought out as experts to talk about the election process.","As the Covid-19 pandemic altered our lives, the MIT community reached new levels of resilience and ingenuity.","Reflecting on a year of loss, grit, and pulling together"
PKG Center,1-May-20,"They were:Four teams were awarded juried grants during Sunday’s live IDEAS Awards broadcast to continue or launch their social innovation:“It has been a humbling experience to participate in IDEAS,” says Celi Lindiwe Khanyile-Lynch, an MIT Sloan MBA student and Greensource team member.I am truly inspired by all the work my classmates are doing to make an impact in communities beyond MIT.”Grantees were selected by a group of 20 judges who reviewed written proposals and engaged with the teams virtually prior to the IDEAS Awards.",Seven teams of MIT social innovators receive funding to continue their ventures.  ,MIT IDEAS celebrates social innovation at the Institute
David Orenstein,4-Oct-18,"People sometimes mistakenly think of general anesthesia as just a really deep sleep, but in fact, anesthesia is really four brain states — unconsciousness, amnesia, immobility, and suppression of the body’s damage sensing response, or “nociception.” In a new paper in MIT neuroscientist and statistician Emery N. Brown and his colleagues argue that by putting nociception at the top of the priority list and taking a principled neuroscientific approach to choosing which drugs to administer, anesthesiologists can use far less medication overall, producing substantial benefits for patients.“We’ve come up with strategies that allow us to dose the same drugs that are generally used but in different proportions that allow us to achieve an anesthetic state that is much more desirable,” says Brown, the Edward Hood Taplin Professor of Computational Neuroscience and Health Sciences and Technology in the Picower Institute for Learning and Memory at MIT and a practicing anesthesiologist at Massachusetts General Hospital.In the paper Brown and co-authors lay out exactly how and where each major anesthetic drug affects the nociceptive circuits of the nervous system.Because reduced arousal is a byproduct of the strategy, they also didn’t have to administer much medicine to ensure unconsciousness, a state they scrupulously monitor in the operating room by watching brainwaves captured by electroencephalography (EEG).“If you do it this way, you have better control of nociception and you can get the same amount of unconsciousness with less drug,” says Brown, who is also associate director of MIT’s Institute for Medical Engineering and Science and a professor in MIT’s Department of Brain and Cognitive Sciences and at Harvard Medical School.","A principled approach can lead to less need for drugs, especially opioids, Emery Brown and colleagues say.","To improve anesthesia, focus on neuroscience and nociception, experts urge"
MIT Resource Department,4-May-21,"As Moniz put it, the company embodies “the spirit of science and technology in action for the good of humankind” and exemplifies how universities and businesses, as well as technology and policy, must work together to make the best environmental choices.Innovation in sustainable practices can be met with substantial challenges when proposed or applied to business models, particularly on the policy side, the panelists noted., , and alternate energy sources such as  that have the potential to achieve net-zero energy, are key areas that students, researchers, and faculty members are pursuing at MIT.“Universities like MIT need to go as fast as we can as far as we can with the science and technology we have now,” Zuber said.","At MIT Forefront, industry and Institute leaders discuss how businesses play a pivotal role in deploying new technologies that will mitigate climate change. ","Climate solutions depend on technology, policy, and businesses working together"
Jennifer Chu,7-Oct-16,"The physicists reasoned that in the presence of an axion such a huge magnetic field should waver ever so slightly, producing a second, vastly smaller magnetic field as a signature of the axion itself.The team consists of MIT associate professor of physics and researcher at the Laboratory for Nuclear Science Jesse Thaler, MIT Pappalardo Fellow Benjamin Safdi, and Yonatan Kahn PhD ’15, now a postdoc at Princeton University.If so, the axion would modify electric and magnetic phenomena in a way that could be detectable experimentally.“It’s very tantalizing to say there might be a particle that serves this deep purpose, and even more so if we were to detect the presence of these particles in the form of dark matter,” Thaler says.Currently, Thaler says most axion hunting has been carried out by researchers at the University of Washington who are running the Axion Dark Matter Experiment, or ADMX.",Detecting “axion” particles may solve longstanding problem in particle physics.,Team simulates a magnetar to seek dark matter particle
Lynsey Chutel,14-May-21,"As a reporter, Adebayo reached out to Africans for their reflections on the George Floyd protests, but many believed race was not an issue in Africa.“I do understand people who share those kinds of thoughts, and I think it’s because many times we’ve not interrogated the colonial engagements we’ve had in the past; it’s very eroded,” she said.Yet, as protests began to erupt in Africa, with demonstrations against colonial monuments and memorabilia that celebrated the people who enslaved Africans, as well as the growing call for the return of stolen African artefacts, Adebayo sees the beginning of a conversation on the role that race still plays in Africa today.“We can’t forget that there was a brutal past to these artworks being taken out of the country, and there’s still not a racial reckoning, or justice or repatriation of these artworks,” said Adebayo.The progressive constitution has served to push the public discourse into the future, but overlooks key points in the global discussion on race and identity that South Africa may have not have had the chance to wrestle with while under isolation during apartheid, said Mokoena.“I would now say there’s a movement of what I call a kind of revisionist movement, where people actually go back to the origins of the constitution and want to revise that by sort of presenting a different historical narrative of how the constitution came into being, and so there is this very touchy, painful conversation between the future that is being projected for us by the constitution, and the past that many of us have to live with simply because we are Black and we have friends in different parts of the diaspora,” said Mokoena.The end of colonialism did not mean the end of a racialized system of oppression.","With speakers from Sudan, Nigeria, South Africa, and the United States, an online discussion sought to position racial justice in an international context.","To understand race in Africa today, look to the past, panelists say"
Kim Martineau,31-Aug-20,"An abstraction module then combines the representations generated for each video in the set to create a new set representation that is used to identify the abstraction shared by all the videos in the set.To see how the model would do compared to humans, the researchers asked human subjects to perform the same set of visual reasoning tasks online.“It’s effectively ‘covering,’ but very different from the visual features of the other clips,” says , a PhD student at MIT who is co-first author of the study with PhD student .",Researchers train a model to reach human-level performance at recognizing abstract concepts in video.,Toward a machine learning model that can reason about everyday actions 
Jennifer Chu,9-Jan-19,"Scientists determined the source was a black hole caught in the midst of an outburst — an extreme phase in which a black hole can spew brilliant bursts of X-ray energy as it devours an avalanche of gas and dust from a nearby star.Now astronomers from MIT and elsewhere have detected “echoes” within this burst of X-ray emissions, that they believe could be a clue to how black holes evolve during an outburst.But was it the disk or the corona that was shifting in?To answer this, the researchers measured a signature that astronomers know as the “iron line” — a feature that is emitted by the iron atoms in an accretion disk only when they are energized, such as by the reflection of X-ray photons off a corona’s electrons.",Halo of highly energized electrons around the black hole contracts dramatically during feeding frenzy.,Astronomers observe evolution of a black hole as it wolfs down stellar material
Jennifer Chu,16-Aug-18,"The cluster, which sits a mere 2.4 billion light years from Earth, is made up of hundreds of individual galaxies and surrounds an extremely active supermassive black hole, or quasar.The central quasar goes by the name PKS1353-341 and is intensely bright — so bright that for decades astronomers observing it in the night sky have assumed that the quasar was quite alone in its corner of the universe, shining out as a solitary light source from the center of a single galaxy.“This idea that you could have a rapidly accreting black hole at the center of a cluster — we didn’t think that was something that happened in nature.”But the Phoenix discovery proved that galaxy clusters could indeed host immensely active black holes, prompting McDonald to wonder: Could there be other nearby galaxy clusters that were simply misidentified?To answer that question, the researchers set up a survey named CHiPS, for Clusters Hiding in Plain Sight, which is designed to reevaluate X-ray images taken in the past.“We start from archival data of point sources, or objects that were super bright in the sky,” Somboonpanyakul explains.",Bright light from black hole in a feeding frenzy had been obscuring surrounding galaxies.,Sprawling galaxy cluster found hiding in plain sight
Nicole Cooper,3-Aug-18,"“It was really amazing to hear about all these issues and to see these places, but [especially] to actually come in and touch and see these things the people we had just been talking about were handling and creating.”Minsky said that the program was eye-opening.“We stay in our bubble [...] and don’t really engage with what’s around us, so I think it’s really important for us [...] to realize [...] all of the social and cultural contexts of the technologies we are engaging with so we can be more informed in our decisions of what to do with the opportunities we’ve been granted.”Danny Becker, program coordinator for the PKG Center, seconds Minsky’s sentiment about the importance of these programs for MIT students.","Through the PKG Summer Series, students follow the trail of the first-ever Boston Pride parade and view archives of early LGBTQ activism in Boston.","PKG Summer Series: Documenting, preserving, and sharing Boston’s LGBTQ history"
School of Science,9-Jan-19,"Of the FRBs observed to date, repeating bursts from a single source had been found only once before — a discovery made by the Arecibo radio telescope in Puerto Rico in 2015.But it has to be in some special place to give us all the scattering that we see.” CHIME is a collaboration of more than 50 scientists led by the University of British Columbia, McGill University, University of Toronto, and the National Research Council of Canada (NRC).",Researchers use CHIME telescope to detect fast radio bursts at low frequencies and a second repeating burst.,Revolutionary radio telescope detects bevy of fast radio bursts 
News Office,6-Jul-15,"This state of coma remains as long as the flow of drugs is maintained, and patients awake from anesthesia with the sensation that no time has passed.Nitrous oxide is commonly administered at the tail end of surgery, to keep a patient unconscious while more potent ether anesthetics clear from his or her system, or is administered along with the ether anesthetics throughout an operation to reduce the doses of the latter.Brown says that anesthesiologists should use an EEG to monitor the brain states of their patients under anesthesia — which could make better anesthetic dosing decisions possible and alleviate concerns about awareness under anesthesia.“It’s hard to imagine that in 2015 you can just anecdotally observe this,” Brown says.He speculates that if the pure, powerful slow waves produced by nitrous oxide could somehow be maintained at a steady state — as opposed to disappearing in mere minutes — then nitrous oxide might be used as a potent anesthetic from which rapid recovery would be possible.It remains a mystery why these large, slow waves only continue for around three minutes, despite continuous administration of nitrous oxide.","MIT researchers reveal brainwave changes in patients receiving nitrous oxide, or “laughing gas.”",Uncovering the mechanism of our oldest anesthetic
Jim Cooney,12-Jul-18,"Increasingly, MIT is attracting and grooming entrepreneurs who are motivated, first and foremost, by their desire for impact, and who seek opportunities in some of the world’s most challenging markets.Cases in point: Three companies incubated at MIT are among the  that Techstars has announced will comprise their first Impact accelerator:  is being called “the Waze for crime” in emerging markets; Nigeria-based  builds and operates medical diagnostic centers; and  converts air pollution into safe, high-grade inks.Techstars is highly prestigious and notoriously competitive, with accelerator cohorts generally boasting a one to two percent acceptance rate.They will be piloting the subscription version, Base Enterprise, with select clients this summer.Oluwasoga “Soga” Oni MS '16 was inspired to build an equipment services venture when his father, a medical doctor in Nigeria, showed him a room where he kept his broken equipment at the small hospital he owned.","Base Operations, MDaaS Global, and Graviky Labs will head to Texas to be part of the first class at the new elite accelerator.",Three MIT-incubated ventures chosen for first Techstars Impact class
Larry Hardesty,12-Jun-15,"“In previous [origami] robots, they had to design electronics and motors to actuate the body itself.”Joining Sung on the paper describing the robot are her advisor, Daniela Rus, the Andrew and Erna Viterbi Professor in MIT’s Department of Electrical Engineering and Computer Science; first author Shuhei Miyashita, a postdoc in Rus’ lab; Steven Guitron, who just received his bachelor’s degree in mechanical engineering from MIT; and Marvin Ludersdorfer of the Technical University of Munich.The robot’s design was motivated by a hypothetical application in which tiny sheets of material would be injected into the human body, navigate to an intervention site, fold themselves up, and, when they had finished their assigned tasks, dissolve.They were able to vary the strength of the electromagnets’ fields rapidly enough that the robot could move nearly four body lengths a second.In addition to the liquid-soluble versions of their robot, the researchers also built a prototype whose outer layers were electrically conductive.","Controlled by magnetic fields, tiny robot climbs inclines, swims, and carries loads twice its weight.",Centimeter-long origami robot
Stefanie Koperniak,15-Mar-21,"Our students are trying to find a way to make work ‘work’ for them, while finding a way to make a career and move into the middle class.We need to find ways to tap into that talent in ways that are new and dynamic.”","At MIT Forefront, panelists explore ways to prepare workers and improve jobs.","Industry, labor, and education leaders discuss the work of the future  "
Hannah Meiseles,19-Apr-21,"After working for a few different MIT climate-focused research centers, she has seen how “MIT has all this amazing research, but it’s often in silos.” After conversations with many faculty and students, she believes that MIT can “exponentially increase its impact” by connecting researchers with each other and with opportunities to influence climate policy.Effective communication is also the theme of Wahnschafft’s favorite class, 11.011 (The Art and Science of Negotiation), for which she has served as a teaching assistant.But my everyday focus will be thinking about if the decisions I’m making are always socially and ethically responsible,” says Wahnschafft.“I think that as MIT students, we need to be very thoughtful with where we choose to dedicate our minds.","Whether improving sanitation or addressing climate change, Kiara Wahnschafft is drawn to evidence-based methods for tackling social challenges.",From entrepreneur to climate policy advocate
Jennifer Chu,24-Apr-16,,"From major facilities and centers to out-of-the-way labs and classrooms, MIT opened its doors to the public.",MIT's Open House attracts tens of thousands on Saturday
Jennifer Chu,18-Mar-18,"Instead, they appear to be evidence of a giant jet of highly energetic particles streaming out from the black hole as stellar material is falling in.Dheeraj Pasham, a postdoc in MIT’s Kavli Institute for Astrophysics and Space Research, says the highly similar patterns suggest that the power of the jet shooting out from the black hole is somehow controlled by the rate at which the black hole is feeding on the obliterated star.“This is telling us the black hole feeding rate is controlling the strength of the jet it produces,” Pasham says.Optical and ultraviolet emissions likely arise from material further out in the disk, which will eventually be pulled into the black hole.However, what gives rise to radio emissions during a tidal disruption flare has been up for debate.“We know that the radio waves are coming from really energetic electrons that are moving in a magnetic field — that is a well-established process,” Pasham says.",Signals suggest black hole emits a jet of energy proportional to the stellar material it gobbles up.,Scientists detect radio echoes of a black hole feeding on a star
"Anne Trafton, MIT News Office",5-Nov-12,,New study reveals brain-wave patterns that mark loss of consciousness during anesthesia.,Inside the unconscious brain
Jennifer Chu,10-Apr-18,"Then that new black hole can find another companion and merge again.”If LIGO detects a binary with a black hole component whose mass is greater than around 50 solar masses, then according to the group’s results, there’s a good chance that object arose not from individual stars, but from a dense stellar cluster.“If we wait long enough, then eventually LIGO will see something that could only have come from these star clusters, because it would be bigger than anything you could get from a single star,” Rodriguez says.What happens to those new black holes inside the cluster is a matter of spin.“If the two black holes are spinning when they merge, the black hole they create will emit gravitational waves in a single preferred direction, like a rocket, creating a  new black hole that can shoot out as fast as 5,000 kilometers per second — so, insanely fast,” Rodriguez says.",Black holes in these environments could combine repeatedly to form objects bigger than anything a single star could produce.,Dense stellar clusters may foster black hole megamergers
Caroline Knox,1-Feb-18,"Entering its 18th year, the Global Startup Labs (GSL) program from MIT International Science and Technology Initiatives (MISTI) continues to recruit undergrads and graduate students across the Institute to teach entrepreneurship around the world.Initially launched as a pilot program in Kenya,  now offers projects in 10 countries: Azerbaijan, Belgium, Brazil, Germany, Mauritius, Mexico, Nepal, Peru, Rwanda, and South Africa.Hosted by the University of Engineering and Technology (UTEC), the student team led their Peruvian peers in discussions, hands-on workshops, and a demo day — the final day of the course during which the UTEC teams pitched their new startups to experts in the field.",Over 200 MIT students have mentored peers in creating tech startups across the world.,MISTI Global Startup Labs celebrates 18 years
Rob Matheson,21-Feb-18,"In spring 2016, the Institute launched , a program that provides fledgling entrepreneurs with funding, mentorship, education, and other support to help shape and launch early-stage ventures.Two years later, the program is celebrating a major entrepreneurial milestone: , an augmented-reality (AR) startup from the first Sandbox cohort, has been acquired by an AR-game-developer giant — and plans to give back to the program that helped it launch.Escher is developing a back-end platform for AR that allows, for the first time, cross-platform and fully multiplayer games.So, it is a wonderful coincidence that his team is the first Sandbox team to have an exit.”At MIT, Finman was deeply involved in the entrepreneurial ecosystem — including as a student advisor during the formation of Sandbox.In 2014, he was on the founding team of  (then ), founded by Anantha Chandrakasan, the current dean of the School of Engineering and the Vannevar Bush Professor of Electrical Engineering and Computer Science, along with other students, faculty, and administrators.","Augmented-reality startup Escher Reality, which recently sold to Niantic, gives back to the program that helped it launch.",MIT Sandbox’s first acquired startup gives back
"School of Humanities, Arts, and Social Sciences",23-Feb-21,"In what ways are the research, insights, and perspectives from economics significant for addressing global change and its myriad ecological and social impacts?There is tremendous and growing interest in environmental questions within economics.","A strong evidence base is key for informing environmental and climate policy, says the MIT assistant professor.",Q&A: Clare Balboni on environmental economics
Hannah Meiseles,2-Oct-20,"Now the club’s president, Guettler has been working to expand the club’s education outreach programs and encourage kids to get excited about ways they can use engineering to help the planet.Although Guettler had long understood the need to improve solar technologies, it wasn’t until her Solar Spring Break experience that she made the connection between climate change and the need to involve many different parties in putting together solutions.“After that, I was kind of hooked on the policy side as well, because I saw that there’s really a space for combining all these things,” she says.“Now all of a sudden it wasn’t just about employing the technology, which I had always been interested in, but also about who was going to be employing it, where it was going to be placed, and how we could make that process as equitable as possible.”Guettler decided to combine her mechanical engineering major with a degree in political science and has gravitated to classes focused on the intersection of sustainable technologies and climate policy.“They’re really interesting classes.",MIT senior Darya Guettler advocates for climate action and broader deployment of zero-carbon energy sources.,A champion of renewable energy
Rob Matheson,26-Oct-16,"We believe this approach can offer exponential growth to regions that pursue it successfully — and we want Greater Boston to lead the way.”To fuel The Engine, MIT will seek to attract hundreds of millions of dollars of support and to make available, for entrepreneurs, hundreds of thousands of square feet of space in Kendall Square and nearby communities.The Engine will also introduce startups to their entrepreneurial peers and to established companies, in innovation clusters across the region and around the world: It seeks to power a network of innovation networks.“The Engine builds on work MIT has undertaken in recent years to stoke innovation on and near our campus — including starting up the MIT Innovation Initiative in 2014,” says MIT Provost Martin Schmidt.It will also provide shared access to costly infrastructure and resources and foster a community of experts and innovators who can lend expertise to the startups: Building upon lessons learned by the Innovation Initiative in supporting innovation and entrepreneurship on campus, MIT has identified many of the challenges that startups face as they enter these earliest stages.For follow-up stages — after the startups have advanced prototypes but haven’t yet demonstrated their products at commercial scale — it intends to provide increased support to promising startups.The Engine will establish a network of existing and forthcoming shared spaces surrounding the MIT campus — including offices, labs, and prototyping and maker spaces — that will enable convenient and cost-efficient sharing of capital-intensive equipment, which is vital to startups aiming to make physical products.Further linking the new facilities, Engine-sponsored transportation will help entrepreneurs and others move among facilities in Cambridge, Boston’s Seaport District, spaces in MIT’s West Campus, and other nearby areas featuring resources that will best serve the needs of entrepreneurs.To make sharing space and resources easier, The Engine will create an online marketplace for entrepreneurs.","The Engine will provide funding, space, and expertise — powering a network of innovation networks.",MIT launches new venture for world-changing entrepreneurs
Institute Events,20-Jan-16,,Crossing the Charles Competition to commemorate 100 years since the opening of MIT's Cambridge campus.,How will you move? MIT community challenged to cross the Charles River on May 7
Institute Events,19-Apr-16,"“The passion our community has to share its ideas and work with people of all ages is truly amazing.”The Open House will begin at 10 a.m. and run until 3 p.m.; it is free for all attendees and no registration or tickets are required.Our visitors can choose from activities that are both fun and educational, from measuring the speed of light with chocolate to seeing the future of 3-D-printed ice cream.","On April 23, MIT's Open House will feature 350-plus events to entertain and inform all ages.",MIT invites you for a look under the dome
"Anne Trafton, MIT News Office",22-Sep-11,,"Neuroscientists find that Ritalin could help bring surgical patients out of surgery much more quickly, with less grogginess.",How to reverse general anesthesia
David L. Chandler,22-Feb-16,"""This centennial of the Cambridge campus, Ochsendorf says, represents “an opportunity to reflect on how and why” the campus was created the way it was, on a “blank slate” of new land.Kicking off the series of centennial festivities, the MIT Museum will hold an opening reception on Monday, Feb. 29 of a new exhibit celebrating the design and construction of the new campus, titled “Imagining New Technology: Building MIT in Cambridge.”The exhibits “include many original materials that have never been seen before,” says Deborah Douglas, the museum’s director of collections.And an important emphasis of this service will be to establish links for ongoing volunteer work in the city by members of the MIT community.On April 23, the celebration’s biggest event will take place: a campus-wide “Open House” to which everyone is invited, with labs and demonstrations open for view all across the Institute.","Recalling Institute’s 1916 move to Cambridge, events will include parade and campus open house.",Celebrations planned for centennial of MIT’s river crossing
Rob Matheson,1-Nov-18,"When two drones loop around to the same cluster of trees, the ground station merges the maps by calculating the relative transformation between the drones, and then fusing the individual maps to maintain consistent orientations.“Calculating that relative transformation tells you how you should align the two maps so it corresponds to exactly how the forest looks,” Tian says.In the ground station, robotic navigation software called “simultaneous localization and mapping” (SLAM) — which both maps an unknown area and keeps track of an agent inside the area — uses the LIDAR input to localize and capture the position of the drones.“In search and rescue missions, time is very important,” Tian says.In the paper, the researchers compared their new search strategy with a traditional method.",System allows drones to cooperatively explore terrain under thick forest canopies where GPS signals are unreliable.,Fleets of drones could aid searches for lost hikers
