author,date,finalSummary,miniSummary,title,topics
Page Laubheimer,2017-11-26,"What this study really shows is that larger text is more legible when glancing at a single word in isolation, out of the context of a sentence.For now, these studies don’t necessarily upend decades of typographic theory and cognitive research; they simply show that, for smaller font sizes, all-uppercase can reduce the legibility deficit that occurs with small size text when the words are presented in isolation.One of the major limitations of this study is that it did not look at mixed-case words in which the first letter is capitalized."," Fonts to support glancing at individual words should be larger, in noncondensed widths, and uppercase over lowercase.",Typography for Glanceable Reading: Bigger Is Better,"Human Computer Interaction, "
Jakob Nielsen,,, The relationship between accessibility and usability and the best ways to convince companies to take both seriously were some of the audience questions answered by Jakob Nielsen at the Virtual UX Conference.,Convincing Companies to Do UX and Accessibility,"Accessibility, "
Kara Pernice,,," The number of senior citizens who use computers and the Internet grows every year. This user population does have special needs, driven by the human aging process, and modest design changes can vastly increase the business you get from seniors.",4 Things to Do When Designing for Seniors,"Accessibility, Visual Design, "
Kara Pernice,,," The number of senior citizens who use computers and the Internet grows every year. This user population does have special needs, driven by the human aging process, and modest design changes can vastly increase the business you get from seniors.",4 Things to Do When Designing for Seniors,"Accessibility, Visual Design, "
Jakob Nielsen,,, The relationship between accessibility and usability and the best ways to convince companies to take both seriously were some of the audience questions answered by Jakob Nielsen at the Virtual UX Conference.,Convincing Companies to Do UX and Accessibility,"Accessibility, "
Kim Salazar,2016-12-04,"Some organizations like banks and retail stores will rely heavily on physical locations, while internet-based companies may not have these physical channels at all, but support a multitude of digital channels to do business with customers.Examining your omnichannel ecosystem in this way can propel you toward fully understanding your channels and how customers are using them in order to make strategic improvements to the customer experience.We discuss how to research the customer journey and improve the five components of the omnichannel user experience in our full-day course  ."," Customer journeys are collections of touchpoints between users and organizations. A touchpoint is defined by a combination of channel, device, and user task.","How Channels, Devices, and Touchpoints Impact the Customer Journey","Customer Journeys, Interaction Design, "
Sarah Gibbons,2016-09-18,"When teams have a shared vocabulary, the focus can move from  to This shared vocabulary comprises words, concepts, ideas that refer to common team experiences and processes.For example, during the empathize phase of design thinking, the team strives to understand what users think and do when they try to accomplish a specific goal — “Sam is our new user and feeling inadequate because he can’t figure out what sign-up question field he left empty” or “Sam is scrolling up and down the page over and over.” As the entire team gets to know this user, it develops a shared, unambiguous understanding of who the user is and what he or she needs.Later on in the process, “Sam” becomes a shortcut for a new user that needs assistance during signup."," Not only does design thinking foster innovation, but it also strengthens teams by creating common vocabulary and artifacts, and a trust-based team culture.",Design Thinking Builds Strong Teams,"UX Teams, Design Process, "
Sarah Gibbons,2018-03-25,"While it’s easy to overuse your Post-it pads or use them at the wrong time or place, Post-its have many merits that make them hard to replace.There are no hard and fast rules for when to use Post-Its."," Sticky notes strengthen team dynamics and represent an egalitarian, concise means for expressing ideas in UX design projects.",In Defense of Post-its,"Design Process, UX Teams, Customer Journeys, "
Jakob Nielsen,2004-11-07,It's essential to develop the expertise to interpret user research and an understanding of when to run usability studies.You still have to know how to deal with the reports and make the research findings relevant to your business.," User research offers a learning opportunity that can help you build an understanding of user behavior, but you must resolve discrepancies between research findings and your own beliefs.",Acting on User Research,"Research Methods, Strategy, User Testing, "
Susan Farrell,2014-12-21,"Encountering familiar tools and structures helps website visitors walk up and use them without having to spend much thought on figuring out how.If you spend too much time and money on website email or customer-service calls, or if people have questions before they can buy what you’re selling, you might benefit a lot financially by addressing the bulk of those questions in a systematic way on the web.Search is a frequently tried FAQ alternative, but .Questions should echo the real concerns people contact you about, and in most cases, the questions should reflect the vocabulary and phrasing of your visitors.Inevitably, if you don’t create a great place for people to interact with you when they need help, they will post questions, complaints, and self-help somewhere else — in public."," A usable website FAQ can improve products, services, information, and user experience as part of your knowledge management process.",FAQs Still Deliver Great Value,"Content Strategy, Corporate Websites, "
Jakob Nielsen,,," In the real world, you can get away with causing customers a small amount of difficulty, but on a website, visitors will leave at the smallest obstacle.",Usability in the Physical World vs. on the Web,"Web Usability, Persuasive Design, "
Anna Kaley,,, Popups and many kinds of modal dialogs are often intrusive user interface elements that get in the way of users' goals and cause annoyance. Here are some of the worst popup UX sins.,Popup Problems,"Web Usability, Design Patterns, "
Anna Kaley,,, Popups and many kinds of modal dialogs are often intrusive user interface elements that get in the way of users' goals and cause annoyance. Here are some of the worst popup UX sins.,Popup Problems,"Web Usability, Design Patterns, "
Jakob Nielsen,,," In the real world, you can get away with causing customers a small amount of difficulty, but on a website, visitors will leave at the smallest obstacle.",Usability in the Physical World vs. on the Web,"Web Usability, Persuasive Design, "
Kathryn Whitenton,,," Consistent design enhances learnability and is usually best for usability. But if the problem you're solving is sufficiently different, then inconsistency may be better.",When is It OK to Be Inconsistent in User Interface Design?,"Design Patterns, Interaction Design, Web Usability, "
Lexie Kane,,, No. 7 of the top 10 UX design heuristics is to speed up the interaction for expert users while still catering to inexperienced users.,Usability Heuristic 7: Flexibility and Efficiency of Use,"Heuristic Evaluation, Application Design, "
Sarah Gibbons,,, Sarah Gibbons discusses techniques for fostering collaboration and communication among product team members.,Building Strong Designer-Developer Relationships,"Design Process, Management, "
Jakob Nielsen,,," At the Virtual UX Conference, Jakob Nielsen talked about the people who inspired him early in his career — and more recently.",Who Inspired Jakob Nielsen?,"Human Computer Interaction, "
Sarah Gibbons,,, Sarah Gibbons discusses techniques for fostering collaboration and communication among product team members.,Building Strong Designer-Developer Relationships,"Design Process, Management, "
Kate Moran,2015-09-27,"But just because users are better at detecting linked elements doesn’t mean they don’t need any clues In fact, we've noticed that long-term exposure to these flat yet clickable elements has been  by complicating their understanding of what's clickable and what isn't.When we asked a 22-year-old Canadian how she knew what she could click on in websites, she gave the following answer:This quote neatly illustrates the types of cues people use to determine clickability:If your organization wants to transition to a flatter aesthetic, follow our  to make sure you aren’t causing click uncertainty.Recently, designers have begun to notice the usability issues of flat design.Designers are finding they can be ""authentically digital"" and explore the unique opportunities of the medium without compromising usability.This newer interpretation is sometimes referred to as  This design style is mostly flat, but it makes use of subtle shadows, highlights, and layers to create some depth in the UI.Google’s  language is one example of flat 2.0 with the right priorities: it uses consistent metaphors and principles borrowed from physics to help users make sense of interfaces and interpret visual hierarchies in content.As with any design trend, we advise balance and moderation."," Flat design is a web-design style that became popular around 2012. It is still widely used today, and its overuse can cause serious usability problems. One of the biggest usability issues introduced by flat design is the lack of signifiers on clickable elements. Flat 2.0 may provide a better alternative.","Flat Design: Its Origins, Its Problems, and Why Flat 2.0 Is Better for Users","Visual Design, Web Usability, "
Kim Salazar,,," A quick summary of the macro level of user experience called the omnichannel user experience.
",What is Omnichannel UX?,
Kim Salazar,,," A quick summary of the macro level of user experience called the omnichannel user experience.
",What is Omnichannel UX?,
Kim Salazar,,, Teams must combine perspectives and get buy-in from multiple business units and channel stakeholders in order to plan and execute effective omnichannel experiences. ,Successful Omnichannel Experiences Begin with Cross-Functional Teams ,
Amy Schade,2015-02-01,"If the most interesting information is at the , users may be enticed to visit the bottom of the page as well.When pages of any size offer little content at the top, it is difficult for users to know what else is available on the page.Users stopped scrolling before finding the information they needed, or worse, didn’t realize that there was more information waiting for them below the fold.There’s also quantitative evidence: in an analysis of , we found that there was a dramatic drop-off in user attention at the position of the page fold.", What appears at the top of the page vs. what’s hidden will always influence the user experience — regardless of screen size. The average difference in how users treat info above vs. below the fold is 84%.,The Fold Manifesto: Why the Page Fold Still Matters,"Behavior Patterns, Visual Design, Web Usability, "
Kathryn Whitenton,2015-11-29,":  are lists of content categories or features, typically presented as a set of links or icons grouped together with visual styling distinct from the rest of the design.Navigation menus include, but are not limited to, navigation bars and .Menus are so important that you find them in virtually every website or piece of software you encounter, but not all menus are created equally.Too often we observe users struggling with menus that are confusing, difficult to manipulate, or simply hard to find.Avoid common mistakes by following these guidelines for usable navigation menus:Even designers familiar with all of these guidelines can still end up creating menus that are overlooked by users, because it is so difficult to  — especially for subjective criteria like whether something is visible."," In both applications and websites, users rely on menus to find content and use features. Use this checklist to make sure your menus do their job. ",Menu Design: Checklist of 15 UX Guidelines to Help Users ,"Navigation, Web Usability, "
Raluca Budiu,2013-12-08,"And the 2-finger gestures are really unfamiliar.There are, however, arguments in favor of using this multitude of gestures: (1) they save precious screen space; (2) users are not forced to use all of them; in fact, some (e.g., the swipes on the homescreen) are redundant—that is, people can access the camera, the phone, and the watch settings in a more roundabout way if they do not remember these gestures; (3) these gestures are ingrained in the operating-system interface, so people will (presumably) get to make them often and thus have many learning opportunities.Unfortunately, although there are only a few apps available for the Samsung Gear (most of them provided by Samsung), some of these apps do not use the standard gestures in standard ways, destroying all hope of having users learn the gestures.The assumption is that it’s easy to glance at your watch and select a story, and less convenient to take out your (huge) phone and do so.Much of the interaction with such a tiny small screen is done via gestures— there is just too little space for controls."," The Samsung Galaxy Gear smartwatch poses unique problems due to the tiny touchscreen. The use of gestures and streamlining content are reasonable solutions, but need to be implemented in a more usable manner.",Smartwatches Are the Future—But Samsung Galaxy Gear Only Partway There,"Mobile & Tablet, "
Kathryn Whitenton,2019-10-27,"Make sure you have some control over who participates in the test, either through screening questions, or by recruiting your own participants.Some tools only offer unmoderated user testing with participants from their panel, while others will provide you with a URL to distribute to your .Using a provided participant panel is fast and easy (especially if your product is something that is relevant to a broad consumer audience).In a moderated study you can follow along with the participants as they conduct activities, but during unmoderated studies you need to be able to watch a recording afterwards.Screen recordings are helpful, but, in the absence of an audio recording, it is easy to miss ."," The 6 steps for running unmoderated usability testing are: define study goals, select testing software, write task descriptions, pilot the test, recruit participants, and analyze the results.",Unmoderated User Tests: How and Why to Do Them,"Remote UX Work, User Testing, Research Methods, "
Anna Kaley,2019-10-27,"Users like to see when organizations care about people and the environment; it influences their decision-making and elicits good feelings about doing business with or working for those companies.While this general theme came as no surprise, users did have specific expectations for how and where companies should communicate about their positive social impact (also referred to as corporate social responsibility, though not as user-friendly of a term).To say that you are committed to people, giving back, or protecting the environment is not good enough; you must back it up with proof, facts, and most importantly, action.For example, a user on IBM’s website was initially skeptical as to whether or not the company’s efforts were legitimate."," Companies should describe their giving back and social responsibility in simple terms, at the right level of detail to build trust and avoid user skepticism.",Social Impact and Sustainability on Corporate Websites,"Corporate Websites, "
Maria Rosala,2019-11-03,"This central team is often an internal-communications team or a dedicated intranet-product team.In a centralized model, anyone who wants to publish intranet content — whether it’s on the homepage or on a specific department’s or team’s page — submits a request to the central team.At this level, content admins may also create additional subcategory pages on their own and edit content, as needed.Benefits of adopting this content-management model include:Drawbacks include:Regardless of the content management model you choose, the following recommendations apply:Choosing the right content-management model for your intranet and organization depends on a variety of factors, including the size of your organization, the goals of your intranet (is it a platform to connect employees across distributed offices or is it meant to support productivity, benefits, and corporate news?"," Three different content-management models enforce who creates, owns, and publishes intranet content.","Content Management on Intranets: Centralized, Distributed, and Hybrid Models","Intranets, Content Strategy, "
Aurora Harley,,," Negative experiences have stronger emotional impact on humans than positive experiences do. Thus, in designing the user experience, we need extra emphasis on avoiding those lows.",The Negativity Bias in a User's Experience,"Psychology and UX, Persuasive Design, Behavior Patterns, "
Anna Kaley,2019-04-21,"If they don’t,  on why it’s productive for the team and the product to have UX represented as the voice of the user in Scrum ceremonies.If you have conflicting meetings or competing workload priorities, rely on your product owner or Scrum master to keep you informed of what the team discussed in a missed ceremony.For example, if daily standup on one team happens in the morning, but you have sprint planning at the same time for another team who is in the middle of delivering an important release, favor the sprint planning meeting, but check with your product owner or Scrum master after to understand any blockers on the other team that UX can help resolve."," As part of an Agile team, UX professionals should participate in all Scrum ceremonies in order to maintain open communication, influence product success, and productively contribute to the team.",UX Responsibilities in Scrum Ceremonies,"Agile, UX Teams, Management, "
Kate Moran,2019-01-27,"Even if there were fewer errors with the new design, it’s possible that they were more severe than the errors made with the old system and that they influenced users’ attitude in the qualitative study.If we find no substantial faults or explanations in the methodologies, it’s time to consider what the conflict between these two standards of quality (quantitative efficiency and qualitative satisfaction) might mean.As UX professionals, But as any experienced UX professional will tell you, that .Then we can use that information to interpret what our users say.So, in this UX team lead’s example, how should we make sense of the user feedback, which seems to contradict the quantitative performance data?"," If your product looks good from one perspective and bad from another, you have to check the methodology and try to interpret the findings.",Interpreting Contradictory UX Research Findings,"Research Methods, "
Alita Joyce,2019-01-27,"Additionally, for users with visual impairments, a white page with light-grey tooltips is especially difficult to read.When tooltips block the content they’re related to, they cause users to repeat steps (i.e. move their mouse to close the tooltip, read the information or field again, hover to reveal tooltip).Test your tooltip positioning to ensure that the content does not block other information pertinent to the user’s goal.Tooltips are often a fail-safe for users when they can’t understand a feature."," Tooltips are user-triggered messages that provide additional information about a page element or feature.  Although tooltips aren’t new to the web, they are often incorrectly implemented.",Tooltip Guidelines,"Interaction Design, Application Design, "
Sarah Gibbons,,," User experience and user interface are highly related. Both are important, but what's the difference between UX and UI? (Often confused!)",UX vs. UI,"Interaction Design, Visual Design, "
Jakob Nielsen,,," Jakob Nielsen in London: A real-world example of how contextual help can reduce confusion (and even saves lives). Provide user assistance exactly when needed, and people may actually read it.",Just-in-Time Help: Look Right!,
Maria Rosala,,," No. 10 of the top 10 UX design heuristics is provide user assistance at appropriate times in the interaction, making sure that such information is easy to search, focused on the user's task, lists concrete steps to be carried out, and not too large.",Usability Heuristic 10: Help and Documentation,"Heuristic Evaluation, "
Therese Fessenden,2018-08-19,"For example, a study participant visiting SaveTheChildren.org commented that “These children [in the ] look like they are in greater need… Like they need more urgent care.” However, when the nonprofit sites featured success stories and happy figures, study participants make comments such as “It looks like these kids are healthy…” and were less likely to trust the site and donate.The shortest amount of time will identify only the most prominent attributes, and as the time window grows, more secondary items will be identified.Once the screen has been shown, researchers should ask the participant follow-up questions such as, “Do you recall anything on that page that stood out to you?” If the participants have a hard time describing what they saw, ask them whether there was a visual or graphic that they can recall, or whether there are any words that came to mind to describe the page itself.", Prominence-interpretation theory helps determine what shapes users’ perceptions of a site’s credibility.,Prominence-Interpretation Theory,"Persuasive Design, Psychology and UX, Visual Design, "
Kate Moran,2018-07-01,"As a result, they miss out on a big opportunity to strengthen their relationships with their customers.Even though transactional messages are typically sent after the user has placed an order, these messages have substantial business value in improving customer satisfaction.Or, even worse, they’re seen as an opportunity for  Participants in our study quickly became annoyed if they felt that a company was harassing them by cramming ads in  shipment notifications, or if they felt they were receiving too many emails.A few new problems have risen with the changing landscape of transactional email.There’s one important theme that hasn’t changed in ten years: The most successful transactional emails in our study were those that:Some companies attempted to make their transactional emails entertaining, cool, or funny."," Automated email messages are more usable than they used to be. Good transactional email should be concise, clear, and easy for users to process.",The State of Transactional Email,"Email, Ecommerce, "
Feifei Liu,2018-07-08,")Like many adults, kids in our studies preferred easy-to-use interfaces.. Touch gestures such swiping, tapping on big targets, or dragging were easy even for the youngest of users because they involved less advanced motor skills — big movements of arms and hands.Many younger children are more comfortable with the trackpad than with the mouse; however, as they advance in age, children become proficient with both devices.A 3-year-old girl preferred the trackpad because she couldn’t comfortably fit her hand around the mouse.During our testing, we saw kids use both gestures to move the app’s characters to a safe place when there was an earthquake."," As kids’ physical development throughout childhood changes, so do their physical abilities, constraints, and device preferences. Touch gestures such as swiping and tapping big targets are easy for all children, but fine mouse or trackpad gestures such as dragging are hard for young kids.",Design for Kids Based on Their Stage of Physical Development,"Young Users, Mobile & Tablet, "
Therese Fessenden,2018-07-08,"If the  can be observed, in the lab or field, the observations will be more accurate and more insightful than if the research team were to come up with “nearly real” data.Field studies not only help us understand the details of the different activities as people perform them in the wild, but also provide us with a holistic picture of these activities and how they fit in the users’ workflow.They can also help identify workflow pain points and needs that are not met due to a mismatch between the design of the existing system, the assumptions of the team building the system, and the  that users have of the system.Users may be able to tell us about some of these pain points."," Observing users in their natural work environment  provides realistic context and representative data, unveils mismatches between users’ mental models and designers’ beliefs about them, and builds empathy with end users.",Field Studies Should Inform Intranet Redesign,"Intranets, Research Methods, "
Rachel Krause,2018-07-15,"This knowledge will be shared by the whole team and will ultimately lead to productive conversations about the  of your efforts.For example, a team improving a login flow (buttons, autofill, and/or a progression bar) can use the storyboard as a summary and reminder of the existing roadblocks in the process.)Discussing the storyboard images as a team will help decide which improvement to focus on, based on a shared understanding of the users and their context."," Visual representations of UX stories capture attention, provide clarity, and inspire us to take action.",Storyboards Help Visualize UX Ideas,"Design Process, Interaction Design, Customer Journeys, "
Kate Moran,2018-07-15,"Each filter (or criterion) has two components:For example, Expedia.com’s hotel search has a filter category labeled  Users can select filter values (like  and ) from that category to narrow down the available hotel options.A truly usable faceted search provides filter categories and filter values that are , and .The filter categories your search provides must cover the most important aspects of whatever users will be filtering, based on relevance to users’ needs.Some filter categories will work for many items, for example:However, using just those common filter categories across your site won’t be enough to help people make choices.In those situations, understand what the users’ priorities are and reflect them in your ordering of filter values.To design a filter categories and values that serve your users, you’ll need to answer several questions:To find answers to these questions, you’ll need to turn to user research.Interview or survey your users to find out how they think about your products or content, and what they care most about."," For a useful faceted search, develop filter categories and filter values that are appropriate, predictable, free of jargon, and prioritized.",Defining Helpful Filter Categories and Values for Better UX,"Navigation, Search, Ecommerce, "
Katie Sherwin,,," Extensive user research with people shopping online identified 5 main types of behavior: product-focused, browsing, researchers, bargain-hunters, and one-time shoppers. Each user type benefits from different UX elements.",5 Types of E-commerce Shoppers,"Ecommerce, Personas, Behavior Patterns, "
Katie Sherwin,,," Extensive user research with people shopping online identified 5 main types of behavior: product-focused, browsing, researchers, bargain-hunters, and one-time shoppers. Each user type benefits from different UX elements.",5 Types of E-commerce Shoppers,"Ecommerce, Personas, Behavior Patterns, "
Jakob Nielsen,2017-12-24,"Going forward, it would not be realistic to assume as high a growth rate, so my hypothesis is that, during the next 33 years, we will revert to the growth rate of the field’s first 33 years.You may think that you don’t see the rapid UX growth that I have outlined above.And even if they don’t realize that a substantial proportion of the growth in the world economy will be to our credit, they’ll still appreciate how much richer they will be because of us.If you can’t tell by now, I’m very bullish on the future of the UX profession."," The UX profession has grown substantially since 1950 and it is now truly worldwide. Even so, the expected growth until 2050 will dwarf anything we’ve seen so far. Many drivers of UX growth are not immediately apparent to most people in the field.",A 100-Year View of User Experience,"Human Computer Interaction, Psychology and UX, "
Kim Salazar,2017-12-17,"When most of the content of the email is in nontext format (as it is the case with flyer-style newsletters), that opportunity to communicate important information to users is lost.In the example above from Everlane, the preheader in the inbox showed only the share links located at the bottom of the message.This format does not translate directly to email; it needs to be tweaked to make it useful as a user interface.When text is embedded in an image, it’s difficult for users to understand what, if anything, is clickable: are they supposed to click the full image, anywhere on it, or on a specific piece of text?Clickable images and flyer-style newsletters should still use clickablility signifiers."," Newsletter recipients expect high-quality images, but excessive focus on graphic design can result in emails that are illegible, unusable, and can’t deliver on business goals.",Imagery in Newsletters: Make Your Marketing Emails Visual But Don’t Sacrifice Usability ,"Email, Visual Design, "
Kim Salazar,,," Your customers want email newsletters that provide immediate utility. Thoughtful layout, image choices, and formatting will help you win over subscribers on your mailing list.",3 UX Tips for Better Newsletters and Marketing Emails,"Email, "
Page Laubheimer,2018-12-23,"But when they skip some of these levels (for example, because they arrived to the site by clicking on an external link such as a search-engine result), breadcrumbs orient them and help them find their way to other, possibly more relevant, pages.A deep page typically shows content on a relatively narrow, specific topic, but the breadcrumb trail can lead users to more-general content in the current page’s parent and grandparent nodes.Breadcrumbs are intended to  other navigational components, such as a global navigation bar that stretches across the top of every page or a local navigation bar that is often found on the left hand side.We’ve noted this for many years, but it still bears repeating; attempting to show a list of the pages a user has accessed, in order, will quickly become long and confusing, with a lot of repetition, and won’t provide any benefit for users who arrive on a deep page directly from an external link, which is one of the key uses of breadcrumbs.Breadcrumbs pose an inherent tension with  sites (in which a page has more than one parent)."," Support wayfinding by including breadcrumbs that reflect the information hierarchy of your site. On mobile, avoid using breadcrumbs that are too tiny or wrap on multiple lines.",Breadcrumbs: 11 Design Guidelines for Desktop and Mobile,"Information Architecture, Navigation, Visual Design, "
Kim Salazar,,," Your customers want email newsletters that provide immediate utility. Thoughtful layout, image choices, and formatting will help you win over subscribers on your mailing list.",3 UX Tips for Better Newsletters and Marketing Emails,"Email, "
Alita Joyce,,," There are two ways to facilitate e-commerce social media: you can sell directly on the social platform, or simply promote on social media with a link to a traditional e-commerce site for the actual purchase.",Social Commerce vs. Social Selling,"Ecommerce, Social Media, "
Kara Pernice,2018-12-23,"So, choose a name your organization can live with at least until the next time the intranet is greatly modified, and you want to change the name to indicate that transformation.Often, a good logo for an intranet includes simply the intranet’s name, with no other fanfare.While these goals are not at odds, they are different and affect design and content.In shaping the design of the Intranet, consider the following dimensions:On each of these dimensions, the company’s public site and the intranet may or may need to match."," The name of the intranet, its logo, and the visual relationship with the company’s external website are key elements to consider when establishing a brand and an identity for your intranet.",Branding an Intranet,"Intranets, Branding, Visual Design, "
Alita Joyce,,," Our user research discovered 6 distinct types of interactions users/customers have with companies on social media. Recognize each type, and support each one with different design approaches.",Companies on Social Media: 6 Interaction Types,"Social Media, Ecommerce, "
Hoa Loranger,2017-10-08,"It’s about understanding people, and helping them get to the answers.I’d like to share with you the major lessons I learned during my UX career in the hope that you avoid making the same mistakes:In software development, you are never done.If you don’t know the answer now, find clever ways to research it.Collaborate with team members to brainstorm ideas and , and make sure that you involve them in testing these ideas in user studies.", Novice UX practitioners often start with the wrong mindset. Know the common mistakes and how to avoid them.,UX Lessons I Wish I Learned in School,
Kate Moran,2019-08-18,"Once the machine is calibrated, the participant has to stay roughly in the same position — moving too far side to side or leaning in or out can cause the tracker to lose calibration.In this desktop eyetracking study of how people read online, we used the following materials:For this specific study, we rented out a 4-person office space in a WeWork coworking facility.In the past, we’ve found that referencing task sheets can break the calibration, but we did not have a problem with it in this study: when people looked back up at the screen to perform their task, the tracker was able to refind and track their eyes."," If you’re planning on running your own eyetracking study, pay attention to equipment, supplies, and placement to ensure high quality data.",Setup of an Eyetracking Study,"Eyetracking, Research Methods, User Testing, "
Jakob Nielsen,2008-05-26,")So, to make this specific choice — as well as many other small choices in application design — it's best to follow the .The time people spend pondering inconsistencies typically sums to much more than the small savings you'll hypothetically derive from a specialized design.Sadly, the  differ from the  when it comes to the sequence of  buttons:If you're designing a desktop application for one of these two personal computer platforms, your choice is easy: .If you're designing a , the decision is harder, but you should probably go with the .", Should the OK button come before or after the Cancel button? Following platform conventions is more important than optimizing an individual dialog box.,OK-Cancel or Cancel-OK? The Trouble With Buttons,"Application Design, "
